Episode,Epsilon,Instant Reward,Cummulative Reward
0,8,25474.796029742367,25474.796029742367
1,8,26324.48652581068,51799.28255555304
2,8,25925.80582951694,77725.08838506998
3,8,25447.964581331173,103173.05296640116
4,8,26277.8464952186,129450.89946161976
5,8,26698.84137230583,156149.74083392558
6,8,16305.584688337342,172455.32552226292
7,8,6882.227877184869,179337.5533994478
8,8,26315.307153563386,205652.86055301118
9,8,12599.307838970752,218252.16839198192
10,8,15647.87287296795,233900.04126494986
11,8,13010.748459338767,246910.78972428862
12,8,25545.77622578035,272456.565950069
13,8,25774.17153642964,298230.73748649866
14,8,20594.494636974156,318825.23212347284
15,8,26164.382388877402,344989.61451235024
16,8,13547.776053510765,358537.390565861
17,8,15593.258487723258,374130.64905358426
18,8,26099.429419733067,400230.0784733173
19,8,26408.16562979786,426638.24410311517
20,8,26181.51643246919,452819.76053558436
21,8,26575.08611623366,479394.846651818
22,8,9741.32563130356,489136.17228312156
23,8,6567.757222123534,495703.9295052451
24,8,26678.149451766825,522382.0789570119
25,8,25326.882242405205,547708.9611994171
26,8,25418.2714416346,573127.2326410518
27,8,25816.254893587837,598943.4875346395
28,8,25139.25986793626,624082.7474025758
29,8,8197.84224737786,632280.5896499536
30,8,26498.70352308611,658779.2931730398
31,8,19692.043388135735,678471.3365611755
32,8,25623.178649003767,704094.5152101793
33,8,24695.66134241499,728790.1765525943
34,8,25397.07822805101,754187.2547806452
35,8,26616.275659553405,780803.5304401986
36,8,24698.68867331181,805502.2191135105
37,8,7612.697446783382,813114.9165602939
38,8,25981.744523745267,839096.6610840391
39,8,24951.098345403414,864047.7594294426
40,8,26574.086881632807,890621.8463110754
41,8,26464.02405765839,917085.8703687338
42,8,23877.38778118125,940963.258149915
43,8,25732.848074136476,966696.1062240514
44,8,8415.126503822841,975111.2327278743
45,8,26021.094479769843,1001132.3272076441
46,8,25224.38395396704,1026356.7111616111
47,8,11137.472363803092,1037494.1835254142
48,8,26514.812099892817,1064008.995625307
49,8,25859.421836260037,1089868.417461567
50,8,7243.200630837011,1097111.6180924042
51,7.6,26746.070532924296,1123857.6886253285
52,7.6,22915.176167767386,1146772.864793096
53,7.6,22057.97793811935,1168830.8427312153
54,7.6,15031.150642895458,1183861.9933741107
55,7.6,24903.625939889684,1208765.6193140002
56,7.6,26292.927226662534,1235058.5465406629
57,7.6,26023.80629237082,1261082.3528330338
