Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,299,11,0,0,9.0,-250367.80526863362,-250367.80526863362
1,109,4,0,1,9.0,-46288.113731393365,-296655.919000027
2,51,0,0,2,9.0,-10622.040682986424,-307277.95968301344
3,299,28,0,2,9.0,-99046.60283600508,-406324.56251901854
4,219,4,0,3,9.0,-26110.536121589186,-432435.0986406077
5,299,12,0,3,9.0,-100697.5862661256,-533132.6849067333
6,299,2,0,3,9.0,-128951.55816786985,-662084.2430746031
7,299,4,0,3,9.0,-80936.72224896445,-743020.9653235676
8,14,0,0,4,9.0,2752.6101369033304,-740268.3551866643
9,299,7,0,4,9.0,-193599.80384693257,-933868.1590335969
10,291,6,0,5,9.0,-91805.32896679267,-1025673.4880003895
11,299,11,0,5,9.0,-92809.67484998099,-1118483.1628503706
