Episode,Steps Done,Epsilon,Instant Reward,Cummulative Reward
0,33,8,550.4566005334111,550.4566005334111
1,95,8,-4217.798555328662,-3667.341954795251
2,299,8,-200198.10083766328,-203865.44279245852
3,275,8,-236137.76308441698,-440003.2058768755
4,130,8,-63547.03945125919,-503550.2453281347
5,232,8,-88007.97129925674,-591558.2166273914
6,299,8,-56693.66419180753,-648251.8808191989
7,185,8,-156321.59666634072,-804573.4774855396
8,299,8,-199065.88701827484,-1003639.3645038145
9,41,8,-15189.273867420045,-1018828.6383712345
10,19,8,-31574.135338746564,-1050402.773709981
11,295,8,-231289.96082531018,-1281692.734535291
12,191,8,720.1653927659827,-1280972.569142525
13,235,8,-174715.01070124877,-1455687.579843774
14,264,8,-235736.11260440503,-1691423.692448179
15,299,8,-231026.34806749446,-1922450.0405156733
16,86,8,-83151.11711136563,-2005601.157627039
17,299,8,22915.231829392105,-1982685.9257976469
18,299,8,5613.348861024848,-1977072.576936622
19,299,8,19794.871250534114,-1957277.7056860877
20,122,8,-41317.080718384044,-1998594.7864044718
21,258,8,11284.604389984826,-1987310.182014487
22,83,8,-12919.589925186121,-2000229.771939673
23,299,8,-59955.35827658137,-2060185.1302162544
24,130,8,13549.489585006637,-2046635.6406312478
25,299,8,21738.6388481455,-2024897.0017831023
26,112,8,-10622.258238870907,-2035519.2600219732
27,269,8,-30298.704434518437,-2065817.9644564916
28,50,8,-2221.5171925166696,-2068039.4816490083
29,88,8,-9376.080512506647,-2077415.562161515
30,283,8,-21421.425865353558,-2098836.9880268686
31,151,8,-13915.962174346521,-2112752.950201215
32,99,8,1364.3736721061737,-2111388.576529109
33,299,8,17526.911823075752,-2093861.6647060332
34,299,8,-68960.95173952456,-2162822.6164455577
35,299,8,-14620.719713974266,-2177443.336159532
36,111,8,3883.5304263441367,-2173559.8057331876
37,51,8,6737.119720886282,-2166822.686012301
38,145,8,-74754.24093447786,-2241576.926946779
39,201,8,-10758.12890252392,-2252335.0558493026
40,98,8,-4850.719938922352,-2257185.775788225
41,299,8,-20374.34323538491,-2277560.11902361
42,214,8,6858.459988806477,-2270701.6590348035
43,18,8,3212.203044732066,-2267489.4559900714
44,266,8,-27624.832865170858,-2295114.288855242
45,299,8,2347.1280541534165,-2292767.1608010884
46,208,8,-13400.602849564022,-2306167.7636506525
47,120,8,-65102.7941025872,-2371270.5577532398
48,49,8,-26167.78041630778,-2397438.3381695477
49,21,8,3662.042575488942,-2393776.295594059
50,73,8,8402.930463219887,-2385373.365130839
51,194,7.6,4862.106290334001,-2380511.258840505
52,299,7.6,21712.816986020214,-2358798.441854485
53,272,7.6,-8204.62477551752,-2367003.0666300026
54,299,7.6,25891.4728515606,-2341111.593778442
55,150,7.6,2881.4865954636625,-2338230.1071829787
56,299,7.6,22529.844960513623,-2315700.262222465
57,93,7.6,9237.068792822878,-2306463.1934296424
58,299,7.6,17234.178000075965,-2289229.0154295666
59,92,7.6,-781.2956201763318,-2290010.311049743
60,299,7.6,27659.84052727405,-2262350.470522469
61,74,7.6,-25457.4792135708,-2287807.9497360396
62,294,7.6,7227.343010986038,-2280580.6067250534
63,77,7.6,-3014.1476257820113,-2283594.7543508355
64,202,7.6,-13864.78319850163,-2297459.537549337
65,138,7.6,-22203.25441372204,-2319662.791963059
66,52,7.6,6158.9928452652,-2313503.799117794
67,115,7.6,4993.470820190209,-2308510.3282976034
68,76,7.6,-7009.330437179102,-2315519.6587347826
69,147,7.6,-7873.117597539811,-2323392.7763323225
