2019-04-12 16:12:51.348975, duration (m), 2.72403671741, ep, 1, epsilon, 8, ep_reward, -604.846011764, total reward, -604.846011764
2019-04-12 16:15:16.496187, duration (m), 0.829912249247, ep, 2, epsilon, 8, ep_reward, -1222.71630585, total reward, -1827.56231761
2019-04-12 16:17:08.860865, duration (m), 0.227557353179, ep, 3, epsilon, 8, ep_reward, -1228.85555827, total reward, -3056.41787588
2019-04-12 16:19:26.774801, duration (m), 0.666866997878, ep, 4, epsilon, 8, ep_reward, -993.095002186, total reward, -4049.51287807
2019-04-12 16:21:46.910774, duration (m), 0.745980683963, ep, 5, epsilon, 8, ep_reward, 494.415584751, total reward, -3555.09729331
2019-04-12 16:26:09.679819, duration (m), 2.757868282, ep, 6, epsilon, 8, ep_reward, 4350.57102717, total reward, 795.473733852
2019-04-12 16:30:32.302767, duration (m), 2.76374154886, ep, 7, epsilon, 8, ep_reward, 3673.45174355, total reward, 4468.9254774
2019-04-12 16:34:43.406590, duration (m), 2.59574958483, ep, 8, epsilon, 8, ep_reward, -3065.20562798, total reward, 1403.71984942
2019-04-12 16:37:22.618251, duration (m), 1.04989000161, ep, 9, epsilon, 8, ep_reward, -2183.37928526, total reward, -779.659435843
2019-04-12 16:39:18.205944, duration (m), 0.297909967105, ep, 10, epsilon, 8, ep_reward, -1461.38540619, total reward, -2241.04484203
2019-04-12 16:42:00.682796, duration (m), 1.08618964752, ep, 11, epsilon, 7.6, ep_reward, -61.0587055096, total reward, -2302.10354754
2019-04-12 16:46:22.562829, duration (m), 2.77621936401, ep, 12, epsilon, 7.6, ep_reward, 1509.25256571, total reward, -792.850981834
2019-04-12 16:50:11.958775, duration (m), 2.18854073286, ep, 13, epsilon, 7.6, ep_reward, -5519.07945878, total reward, -6311.93044061
2019-04-12 16:54:23.294162, duration (m), 2.56824688514, ep, 14, epsilon, 7.6, ep_reward, -702.333633652, total reward, -7014.26407426
2019-04-12 16:58:40.006799, duration (m), 2.6721146663, ep, 15, epsilon, 7.6, ep_reward, 1536.37040797, total reward, -5477.89366629
2019-04-12 17:03:01.774789, duration (m), 2.79214711587, ep, 16, epsilon, 7.6, ep_reward, 3039.37875013, total reward, -2438.51491616
2019-04-12 17:05:04.289346, duration (m), 0.418986185392, ep, 17, epsilon, 7.6, ep_reward, -1702.24209129, total reward, -4140.75700745
2019-04-12 17:08:22.826816, duration (m), 1.71428571542, ep, 18, epsilon, 7.6, ep_reward, -872.62372294, total reward, -5013.38073039
2019-04-12 17:12:46.595598, duration (m), 2.79934336344, ep, 19, epsilon, 7.6, ep_reward, -2008.82597932, total reward, -7022.20670971
2019-04-12 17:15:28.227549, duration (m), 1.06089744965, ep,  , epsilon, 7.6, ep_reward, -2077.31574499, total reward, -9099.5224547
2019-04-12 17:17:42.149588, duration (m), 0.383644986153, ep, 21, epsilon, 7.22, ep_reward, -1781.71235537, total reward, -10881.2348101
2019-04-12 17:22:06.530780, duration (m), 2.79745424986, ep, 22, epsilon, 7.22, ep_reward, 1839.45502889, total reward, -9041.77978117
2019-04-12 17:24:46.328716, duration (m), 1.04653554757, ep, 23, epsilon, 7.22, ep_reward, -1205.75461001, total reward, -10247.5343912
2019-04-12 17:27:06.739149, duration (m), 0.751462233067, ep, 24, epsilon, 7.22, ep_reward, -552.399690797, total reward, -10799.934082
2019-04-12 17:28:59.185832, duration (m), 0.305606615543, ep, 25, epsilon, 7.22, ep_reward, -1237.70203599, total reward, -12037.636118
2019-04-12 17:33:28.155903, duration (m), 2.80327549775, ep, 26, epsilon, 7.22, ep_reward, -2565.47334558, total reward, -14603.1094635
2019-04-12 17:35:29.906751, duration (m), 0.426024250189, ep, 27, epsilon, 7.22, ep_reward, -147.066285101, total reward, -14750.1757486
2019-04-12 17:39:55.538770, duration (m), 2.79794135094, ep, 28, epsilon, 7.22, ep_reward, 339.627797504, total reward, -14410.5479511
2019-04-12 17:43:31.628317, duration (m), 1.99723598162, ep, 29, epsilon, 7.22, ep_reward, 929.847261183, total reward, -13480.70069
2019-04-12 17:47:46.974826, duration (m), 2.62074988286, ep, 30, epsilon, 7.22, ep_reward, 4492.40995018, total reward, -8988.29073978
2019-04-12 17:52:27.005146, duration (m), 2.81130985022, ep, 31, epsilon, 6.859, ep_reward, 4679.39053347, total reward, -4308.90020631
2019-04-12 17:56:53.434461, duration (m), 2.8197627147, ep, 32, epsilon, 6.859, ep_reward, 2117.26411057, total reward, -2191.63609574
2019-04-12 18:01:18.051848, duration (m), 2.81769801776, ep, 33, epsilon, 6.859, ep_reward, 105.670452527, total reward, -2085.96564321
2019-04-12 18:05:09.429720, duration (m), 2.25752334992, ep, 34, epsilon, 6.859, ep_reward, -1165.12988002, total reward, -3251.09552323
2019-04-12 18:09:34.314797, duration (m), 2.822465686, ep, 35, epsilon, 6.859, ep_reward, 285.158748517, total reward, -2965.93677471
2019-04-12 18:13:59.645548, duration (m), 2.82258791526, ep, 36, epsilon, 6.859, ep_reward, -3821.77534942, total reward, -6787.71212413
2019-04-12 18:16:55.857991, duration (m), 1.41105384827, ep, 37, epsilon, 6.859, ep_reward, 1077.28264164, total reward, -5710.42948248
2019-04-12 18:19:22.618465, duration (m), 0.877756166458, ep, 38, epsilon, 6.859, ep_reward, -554.105340722, total reward, -6264.53482321
2019-04-12 18:21:05.889773, duration (m), 0.139559984207, ep, 39, epsilon, 6.859, ep_reward, -1252.80852942, total reward, -7517.34335263
2019-04-12 18:25:31.571672, duration (m), 2.83722733259, ep, 40, epsilon, 6.859, ep_reward, 2868.46461115, total reward, -4648.87874147
2019-04-12 18:30:11.337680, duration (m), 2.82799408436, ep, 41, epsilon, 6.51605, ep_reward, 1606.63891309, total reward, -3042.23982838
2019-04-12 18:34:06.570792, duration (m), 2.33266843557, ep, 42, epsilon, 6.51605, ep_reward, -724.363901574, total reward, -3766.60372996
2019-04-12 18:38:29.886763, duration (m), 2.81576993465, ep, 43, epsilon, 6.51605, ep_reward, 6476.05066318, total reward, 2709.44693323
2019-04-12 18:42:53.010969, duration (m), 2.82496936719, ep, 44, epsilon, 6.51605, ep_reward, 450.216961534, total reward, 3159.66389476
