Episode,Steps Done,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,299,0,0,0.05328476298300598,-35768.608064959546,16697217.20005125
1,99,0,1,0.05328476298300598,12167.617058423964,16709384.817109674
2,299,0,1,0.05328476298300598,27358.95304371409,16736743.770153388
3,299,0,1,0.05328476298300598,24998.61740582841,16761742.387559216
4,107,0,2,0.05328476298300598,7582.861567658092,16769325.249126874
5,299,0,2,0.05328476298300598,20427.249145584923,16789752.49827246
6,207,0,3,0.05328476298300598,22910.64827640904,16812663.146548867
7,106,0,4,0.05328476298300598,4088.6931070449455,16816751.839655913
8,164,1,4,0.05328476298300598,4387.340316766431,16821139.17997268
9,299,1,4,0.05328476298300598,27288.413751434582,16848427.593724113
10,299,1,4,0.05328476298300598,17235.349267995713,16865662.94299211
11,299,1,4,0.05328476298300598,22113.70964736492,16887776.652639475
12,299,1,4,0.05328476298300598,26493.474981023322,16914270.1276205
13,299,1,4,0.05328476298300598,28267.783692691373,16942537.91131319
14,256,1,5,0.05328476298300598,24295.60962659694,16966833.52093979
15,139,1,6,0.05328476298300598,14217.179477186266,16981050.700416975
16,237,2,6,0.05062052483385568,7701.005500250943,16988751.705917224
17,47,2,7,0.05062052483385568,5378.094190228228,16994129.800107453
18,299,2,7,0.05062052483385568,25085.217220697978,17019215.01732815
19,299,2,7,0.05062052483385568,28888.888434551845,17048103.905762702
20,299,2,7,0.05062052483385568,6412.542214732253,17054516.447977435
21,25,2,8,0.05062052483385568,4013.3858115305047,17058529.833788965
22,299,2,8,0.05062052483385568,14319.60158776173,17072849.435376726
23,299,2,8,0.05062052483385568,16112.853144487193,17088962.28852121
24,299,2,8,0.05062052483385568,26334.248859306637,17115296.537380517
25,299,2,8,0.05062052483385568,23116.139280810545,17138412.676661327
26,299,2,8,0.05062052483385568,23502.85367321014,17161915.530334536
27,299,2,8,0.05062052483385568,26072.49779926799,17187988.028133802
28,299,2,8,0.05062052483385568,21100.353272143533,17209088.381405946
29,299,2,8,0.05062052483385568,23873.909781520688,17232962.291187465
30,299,2,8,0.05062052483385568,23937.33077658094,17256899.621964045
31,259,3,8,0.04808949859216289,7175.662811244903,17264075.28477529
32,299,3,8,0.04808949859216289,24501.21183628372,17288576.496611573
33,299,3,8,0.04808949859216289,21011.37109194727,17309587.86770352
34,299,3,8,0.04808949859216289,1006.5349603661552,17310594.402663887
35,110,3,9,0.04808949859216289,12846.819993341982,17323441.22265723
36,75,3,10,0.04808949859216289,9255.326379694274,17332696.549036924
37,299,3,10,0.04808949859216289,26685.694429254658,17359382.24346618
38,299,3,10,0.04808949859216289,-19885.86013757328,17339496.383328605
39,299,3,10,0.04808949859216289,23838.938206405146,17363335.32153501
40,299,3,10,0.04808949859216289,25886.03313187795,17389221.35466689
41,260,3,11,0.04808949859216289,22553.011908648205,17411774.366575535
42,299,3,11,0.04808949859216289,24806.6952790237,17436581.06185456
43,299,3,11,0.04808949859216289,21822.04078035105,17458403.10263491
44,153,3,12,0.04808949859216289,18358.746462493713,17476761.849097405
45,299,3,12,0.04808949859216289,33280.10117501026,17510041.950272415
46,299,3,12,0.045685023662554745,18329.101486913973,17528371.05175933
47,73,3,13,0.045685023662554745,9918.523581826976,17538289.575341154
48,299,3,13,0.045685023662554745,27470.018558430875,17565759.593899585
49,38,3,14,0.045685023662554745,5699.106663442479,17571458.70056303
50,71,3,15,0.045685023662554745,8960.4494543899,17580419.150017418
51,202,4,15,0.045685023662554745,5914.607043430682,17586333.75706085
52,299,4,15,0.045685023662554745,26291.243825531234,17612625.00088638
53,299,4,15,0.045685023662554745,25632.414499620383,17638257.415386003
54,299,4,15,0.045685023662554745,25232.74522913548,17663490.16061514
55,121,4,16,0.045685023662554745,14571.691002434243,17678061.851617575
56,186,4,17,0.045685023662554745,9265.290908877181,17687327.14252645
57,93,4,18,0.045685023662554745,9826.876163624847,17697154.018690076
58,77,4,19,0.045685023662554745,8863.581652927118,17706017.600343004
59,299,4,19,0.045685023662554745,27181.620705100304,17733199.221048106
60,299,4,19,0.045685023662554745,24071.987848172153,17757271.20889628
61,187,5,19,0.04340077247942701,5935.471380435196,17763206.680276714
62,55,5,20,0.04340077247942701,7183.470320980427,17770390.150597695
63,299,5,20,0.04340077247942701,25657.54385803797,17796047.69445573
64,158,6,20,0.04340077247942701,-2887.2416324445167,17793160.45282329
65,299,6,20,0.04340077247942701,23780.54158882509,17816940.994412113
66,299,6,20,0.04340077247942701,24115.55514212279,17841056.549554236
67,299,6,20,0.04340077247942701,-14386.883506226615,17826669.66604801
68,299,6,20,0.04340077247942701,21519.244582720454,17848188.91063073
69,299,6,20,0.04340077247942701,25614.976449838745,17873803.88708057
70,299,6,20,0.04340077247942701,24399.186955412286,17898203.07403598
71,16,6,21,0.04340077247942701,3164.374093315496,17901367.448129296
72,46,6,22,0.04340077247942701,6434.516453274831,17907801.96458257
73,299,6,22,0.04340077247942701,-46673.21374388039,17861128.75083869
74,299,6,22,0.04340077247942701,18305.588459354367,17879434.339298043
75,299,6,22,0.04340077247942701,19182.862859512643,17898617.202157557
76,299,6,22,0.041230733855455656,25433.866116262943,17924051.06827382
77,299,6,22,0.041230733855455656,27536.206960025153,17951587.275233846
78,25,6,23,0.041230733855455656,3061.6088124399976,17954648.884046286
79,45,6,24,0.041230733855455656,5983.363563607039,17960632.247609895
80,299,6,24,0.041230733855455656,24487.295662996105,17985119.54327289
81,299,6,24,0.041230733855455656,25113.63868501289,18010233.181957904
82,299,6,24,0.041230733855455656,24825.27010847196,18035058.452066377
83,113,6,25,0.041230733855455656,11413.117154301108,18046471.569220677
84,299,6,25,0.041230733855455656,25243.861476954262,18071715.43069763
