Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,106,0,1,0,9.0,-27866.99086576503,-27866.99086576503
1,58,0,2,0,9.0,-43596.698318049865,-71463.68918381489
2,73,0,3,0,9.0,-25895.70729995362,-97359.3964837685
3,244,0,4,0,9.0,-44999.92716300078,-142359.32364676928
4,72,0,4,1,9.0,-7541.130279991568,-149900.45392676085
5,299,0,4,1,9.0,-27847.82918844933,-177748.2831152102
6,151,0,5,1,9.0,-62447.6856466396,-240195.9687618498
7,17,0,5,2,9.0,3199.2476618819696,-236996.72109996784
8,72,0,6,2,9.0,-23799.648427773034,-260796.36952774087
9,24,0,7,2,9.0,-14146.047077017873,-274942.41660475876
10,95,0,7,3,9.0,-11689.057117314474,-286631.47372207325
11,77,0,8,3,9.0,-26322.787350947438,-312954.2610730207
12,62,0,9,3,9.0,-43596.35339344719,-356550.6144664679
13,37,0,10,3,9.0,-40194.30461269163,-396744.9190791595
14,299,0,10,3,9.0,-148741.9133941407,-545486.8324733002
15,44,0,11,3,9.0,-52861.054699219196,-598347.8871725193
16,58,0,12,3,8.549999999999999,-37088.988142687216,-635436.8753152066
17,15,0,13,3,8.549999999999999,-8339.889874955265,-643776.7651901619
18,8,0,13,4,8.549999999999999,2284.054657070414,-641492.7105330914
19,3,0,13,5,8.549999999999999,1841.9838958618116,-639650.7266372297
20,117,0,14,5,8.549999999999999,-73939.41354551137,-713590.140182741
21,37,0,15,5,8.549999999999999,-39783.27428280904,-753373.41446555
22,11,0,15,6,8.549999999999999,2762.8217030572605,-750610.5927624927
23,169,0,16,6,8.549999999999999,-15941.478147153333,-766552.070909646
24,8,0,17,6,8.549999999999999,-18881.768630361643,-785433.8395400076
25,85,0,18,6,8.549999999999999,-20444.62785551366,-805878.4673955214
26,25,0,19,6,8.549999999999999,-9879.764279687011,-815758.2316752083
27,210,0,20,6,8.549999999999999,-79941.55916640944,-895699.7908416177
28,12,0,20,7,8.549999999999999,293.42468649522743,-895406.3661551225
29,15,0,20,8,8.549999999999999,469.2374395428992,-894937.1287155796
30,178,0,21,8,8.549999999999999,-141243.63047126328,-1036180.759186843
31,117,0,22,8,8.122499999999999,-39518.231795133775,-1075698.9909819767
32,30,0,23,8,8.122499999999999,-14645.795343665412,-1090344.7863256421
33,173,3188.251220703125,24,8,8.122499999999999,-22216.47625823363,-1112561.2625838758
34,83,92410.9375,25,8,8.122499999999999,-50113.04628351626,-1162674.3088673921
35,114,13632.6650390625,26,8,8.122499999999999,-54573.23870859227,-1217247.5475759844
36,3,5834.27001953125,27,8,8.122499999999999,-11196.848553180469,-1228444.3961291648
37,285,51995.4375,28,8,8.122499999999999,-93368.5653376171,-1321812.961466782
38,185,83893.3515625,29,8,8.122499999999999,-74475.08676107979,-1396288.0482278618
39,191,59701.73828125,30,8,8.122499999999999,-41745.17406437827,-1438033.22229224
40,11,188266.875,30,9,8.122499999999999,1483.8088552994154,-1436549.4134369406
41,8,3360.664794921875,30,10,8.122499999999999,2348.6580401206875,-1434200.75539682
42,8,15792.7294921875,30,11,8.122499999999999,2323.554042572383,-1431877.2013542475
43,4,22824.51171875,31,11,8.122499999999999,-9646.018044810226,-1441523.2193990578
44,3,9617.1748046875,31,12,8.122499999999999,1840.1510406372513,-1439683.0683584206
45,35,60538.6796875,32,12,8.122499999999999,-8346.911632381973,-1448029.9799908027
46,13,4331.3203125,33,12,7.716374999999998,-14702.808876722347,-1462732.788867525
47,55,1659.1263427734375,33,13,7.716374999999998,3817.623281279973,-1458915.165586245
48,20,64224.65234375,33,14,7.716374999999998,3529.6908625932356,-1455385.4747236518
49,19,43374.9453125,34,14,7.716374999999998,-8072.425123820663,-1463457.8998474726
50,37,12175.9296875,35,14,7.716374999999998,-26970.972247441983,-1490428.8720949145
51,60,1718.2020263671875,35,15,7.716374999999998,5464.539857922857,-1484964.3322369917
52,11,109080.734375,36,15,7.716374999999998,-12560.587229249482,-1497524.9194662413
53,36,12906.4306640625,37,15,7.716374999999998,-10946.8637112553,-1508471.7831774966
54,1,28326.734375,37,16,7.716374999999998,1611.581254575403,-1506860.2019229212
55,31,25081.15625,38,16,7.716374999999998,-7058.592014998656,-1513918.79393792
56,267,8963.0810546875,39,16,7.716374999999998,-9235.9767674877,-1523154.7707054075
57,210,9803.0693359375,40,16,7.716374999999998,-15609.739639468607,-1538764.510344876
58,19,39796.6953125,41,16,7.716374999999998,-12957.201935670415,-1551721.7122805463
59,126,52022.47265625,41,17,7.716374999999998,-46648.05955898852,-1598369.7718395349
60,55,7291.68896484375,41,18,7.716374999999998,6100.476090680277,-1592269.2957488545
61,17,8416.3623046875,41,19,7.330556249999998,3114.210677027413,-1589155.085071827
62,71,13047.3837890625,42,19,7.330556249999998,-16245.498705762113,-1605400.5837775893
63,26,13753.248046875,43,19,7.330556249999998,-7846.3141589297375,-1613246.897936519
64,72,191603.078125,44,19,7.330556249999998,-6987.789904292984,-1620234.687840812
65,56,5608.5556640625,45,19,7.330556249999998,-5169.761467643462,-1625404.4493084555
66,34,32133.375,45,20,7.330556249999998,2291.9282923775327,-1623112.5210160778
67,17,6153.40185546875,46,20,7.330556249999998,-8343.632488033067,-1631456.1535041109
68,22,18508.240234375,47,20,7.330556249999998,-7971.3050269135,-1639427.4585310244
69,99,9597.0810546875,48,20,7.330556249999998,-7718.726787293323,-1647146.1853183177
70,40,2713.828857421875,49,20,7.330556249999998,-7621.60048135823,-1654767.7857996759
71,35,8209.4326171875,49,21,7.330556249999998,4983.841143607622,-1649783.9446560682
72,27,6734.2021484375,49,22,7.330556249999998,4388.549471777649,-1645395.3951842906
73,38,3070.191162109375,50,22,7.330556249999998,-6900.474015692765,-1652295.8691999833
74,37,51487.76953125,51,22,7.330556249999998,-23851.1032925734,-1676146.9724925568
75,85,41446.0,52,22,7.330556249999998,-35371.714791471175,-1711518.687284028
76,4,79640.328125,52,23,6.964028437499998,1901.98454514764,-1709616.7027388802
77,54,1533.6768798828125,52,24,6.964028437499998,5866.6891287783355,-1703750.0136101018
78,99,119676.2578125,53,24,6.964028437499998,-5360.589006097245,-1709110.602616199
79,164,21946.0625,54,24,6.964028437499998,-20918.255452668516,-1730028.8580688676
