Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,299,0,0,0,2.03341986893309,27343.227435431505,-37815560.65542847
1,299,7,0,0,2.03341986893309,-70323.6916107832,-37885884.34703925
2,299,0,0,0,2.03341986893309,25226.83555122916,-37860657.51148802
3,299,12,0,0,2.03341986893309,20563.78141220961,-37840093.730075814
4,299,36,0,0,2.03341986893309,-138204.03641505976,-37978297.76649088
5,299,0,0,0,2.03341986893309,20077.54874218646,-37958220.21774869
6,299,0,0,0,2.03341986893309,3687.1494337775503,-37954533.06831491
7,299,41,0,0,2.03341986893309,21032.234590684544,-37933500.83372422
8,299,5,0,0,2.03341986893309,-77408.50417258288,-38010909.33789681
9,299,28,0,0,2.03341986893309,-53840.81149474923,-38064750.14939156
10,299,48,3255.4833984375,0,2.03341986893309,-111290.35892732578,-38176040.508318886
11,299,18,4709.92626953125,0,2.03341986893309,-276977.5452620313,-38453018.05358092
12,76,0,5366.46533203125,1,2.03341986893309,-23977.23809095361,-38476995.29167187
13,299,25,10444.546875,1,2.03341986893309,14563.506127783727,-38462431.78554409
14,42,2,6347.248046875,2,2.03341986893309,-26235.36484527013,-38488667.15038936
15,299,4,1443.99609375,2,2.03341986893309,-1801.0561269766322,-38490468.20651633
16,299,16,3084.359130859375,2,2.03341986893309,-30147.437981997373,-38520615.64449833
17,299,27,2071.321044921875,2,2.03341986893309,-9123.172185847872,-38529738.81668418
18,299,3,848.9783325195312,2,2.03341986893309,-84472.43793648563,-38614211.254620664
19,299,63,1579.75341796875,2,2.03341986893309,-20371.28309703611,-38634582.5377177
20,299,25,1272.6317138671875,2,2.03341986893309,22940.894076365756,-38611641.64364134
21,299,27,61141.171875,2,1.9317488754864351,-30659.396764088116,-38642301.04040542
22,82,30,723.2202758789062,3,1.9317488754864351,-11841.956430771137,-38654142.99683619
23,299,0,470.3155822753906,3,1.9317488754864351,9261.585843000226,-38644881.410993196
24,299,13,4400.26611328125,3,1.9317488754864351,-9520.971360191317,-38654402.38235339
25,237,30,1951.23876953125,4,1.9317488754864351,-97198.61560926403,-38751600.99796265
26,164,1,37654.09765625,5,1.9317488754864351,-5355.889659805606,-38756956.88762246
27,299,19,773.326416015625,5,1.9317488754864351,-282904.3615053448,-39039861.249127805
28,299,1,103106.2109375,5,1.9317488754864351,-127223.22870127161,-39167084.47782908
29,299,7,4172.072265625,5,1.9317488754864351,19548.66555389016,-39147535.812275186
30,299,16,4316.40576171875,5,1.9317488754864351,-17335.96619294319,-39164871.77846813
31,299,0,2257.805908203125,5,1.9317488754864351,-230112.13859661133,-39394983.91706474
32,299,36,4217.23876953125,5,1.9317488754864351,-82763.14245613111,-39477747.05952087
33,299,12,81005.5078125,5,1.9317488754864351,17778.981041079685,-39459968.07847979
34,299,7,9310.6806640625,5,1.9317488754864351,25660.474228568106,-39434307.60425122
