Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,298,13,0,1,9.0,-94325.35685545045,-94325.35685545045
1,299,2,0,1,9.0,-99761.03697385738,-194086.3938293078
2,299,8,0,1,9.0,-162570.8087592569,-356657.2025885647
3,299,7,0,1,9.0,-9126.452377171367,-365783.6549657361
4,89,2,0,2,9.0,-8038.7451163592505,-373822.40008209535
5,299,2,0,2,9.0,-73947.90571591888,-447770.3057980142
6,178,7,0,3,9.0,-53315.10826084952,-501085.41405886377
7,299,10,0,3,9.0,-151801.44485107623,-652886.85890994
8,293,4,0,4,9.0,-79293.99732540123,-732180.8562353412
9,98,2,0,5,9.0,6640.183994183529,-725540.6722411576
10,299,35,0,5,9.0,-146829.12381810724,-872369.7960592648
11,9,0,0,6,9.0,2333.725736676388,-870036.0703225884
12,236,27,69733.6015625,7,9.0,-46347.8446647228,-916383.9149873112
13,14,0,5938.88818359375,8,9.0,-3922.4922300257276,-920306.4072173369
14,77,3,127943.0859375,9,9.0,-18671.985338947983,-938978.3925562849
15,299,13,72841.3359375,9,9.0,-70371.1772461804,-1009349.5698024653
16,299,5,20171.0546875,9,9.0,-126535.26429078866,-1135884.8340932538
17,299,17,22760.482421875,9,9.0,-150734.84773853235,-1286619.6818317862
18,299,8,211943.015625,9,9.0,-79625.2465564381,-1366244.9283882242
19,299,27,161098.5625,9,9.0,-118659.58990663763,-1484904.5182948618
20,239,10,20877.724609375,10,9.0,-106360.03288404565,-1591264.5511789075
21,299,13,8788.5498046875,10,8.549999999999999,-161607.17501162682,-1752871.7261905344
22,229,17,139976.765625,11,8.549999999999999,-41764.92021979375,-1794636.646410328
23,299,22,65143.796875,11,8.549999999999999,-169596.15397560154,-1964232.8003859296
24,277,20,35309.94140625,12,8.549999999999999,-128130.25879054704,-2092363.0591764767
25,299,11,4802.6796875,12,8.549999999999999,-103883.6862218429,-2196246.74539832
