Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,299,0,0,0,9.0,-137137.34641038792,-137137.34641038792
1,70,0,1,0,9.0,-26382.066751255792,-163519.41316164372
2,89,0,2,0,9.0,-57355.084581283634,-220874.49774292734
3,103,0,3,0,9.0,-19355.63192254245,-240230.12966546978
4,299,0,3,0,9.0,-119638.62280775016,-359868.75247321994
5,107,0,4,0,9.0,-12349.070188141439,-372217.82266136137
6,12,0,4,1,9.0,2596.98542922334,-369620.83723213803
7,56,0,5,1,9.0,-41710.19588302042,-411331.03311515844
8,7,0,5,2,9.0,2230.425316282233,-409100.6077988762
9,47,0,6,2,9.0,-29727.16973539342,-438827.7775342696
10,18,0,6,3,9.0,588.6042334013993,-438239.1733008682
11,32,0,7,3,9.0,-17134.748727415143,-455373.92202828336
12,60,0,8,3,9.0,-39627.49470182927,-495001.4167301126
13,28,0,8,4,9.0,4425.915925227508,-490575.5008048851
14,58,0,9,4,9.0,-4886.232357119729,-495461.73316200485
15,47,0,10,4,9.0,-23328.862015553088,-518790.59517755796
16,46,0,11,4,8.549999999999999,-41244.66680623275,-560035.2619837907
17,88,0,11,5,8.549999999999999,147.2458254022538,-559888.0161583885
18,19,0,11,6,8.549999999999999,-1627.2246812066664,-561515.2408395951
19,266,0,12,6,8.549999999999999,-119243.68568470303,-680758.9265242981
20,5,0,12,7,8.549999999999999,2104.1003219287486,-678654.8262023694
21,276,0,13,7,8.549999999999999,-126110.29260232174,-804765.1188046911
22,28,0,14,7,8.549999999999999,-7577.77651410914,-812342.8953188002
23,181,0,15,7,8.549999999999999,-119662.95866706916,-932005.8539858694
24,119,0,16,7,8.549999999999999,-18003.45840795998,-950009.3123938295
25,179,0,17,7,8.549999999999999,-51225.45166067953,-1001234.764054509
26,102,0,18,7,8.549999999999999,-98641.66931883259,-1099876.4333733416
27,10,0,19,7,8.549999999999999,-16742.31397578502,-1116618.7473491265
28,7,0,20,7,8.549999999999999,-9255.798694610374,-1125874.5460437369
29,24,0,21,7,8.549999999999999,-8105.028430063954,-1133979.5744738008
30,30,0,22,7,8.549999999999999,-7128.2384508463765,-1141107.8129246472
31,72,0,23,7,8.122499999999999,-12956.596369451803,-1154064.409294099
32,26,0,24,7,8.122499999999999,-25666.204422794763,-1179730.6137168938
33,23,0,24,8,8.122499999999999,3975.571407004521,-1175755.0423098893
34,3,0,24,9,8.122499999999999,1827.6859844453015,-1173927.356325444
35,81,0,25,9,8.122499999999999,-70340.27947911544,-1244267.6358045596
36,134,40349388.0,26,9,8.122499999999999,-111688.52259988597,-1355956.1584044455
37,34,119587.0,26,10,8.122499999999999,1.1051675716071259,-1355955.0532368738
38,86,32154.203125,27,10,8.122499999999999,-45889.65991184229,-1401844.7131487161
39,21,1687.986572265625,28,10,8.122499999999999,-13059.207479764416,-1414903.9206284806
40,22,225377360.0,29,10,8.122499999999999,-14253.633313631934,-1429157.5539421125
41,26,48388524.0,29,11,8.122499999999999,3939.604843444825,-1425217.9490986676
42,13,304752.9375,29,12,8.122499999999999,2749.222978859677,-1422468.726119808
43,8,31620260.0,30,12,8.122499999999999,-13622.214073192577,-1436090.9401930005
44,13,45423.5703125,30,13,8.122499999999999,2928.284120545628,-1433162.6560724548
45,68,86931.671875,31,13,8.122499999999999,-58308.514403401176,-1491471.170475856
46,171,254816144.0,32,13,7.716374999999998,-90720.46807984418,-1582191.6385557002
47,12,2575202.75,32,14,7.716374999999998,123.44504065917772,-1582068.193515041
48,44,2852.513427734375,33,14,7.716374999999998,-6517.626092883452,-1588585.8196079244
49,6,310.8440246582031,33,15,7.716374999999998,2178.8062788055954,-1586407.013329119
50,35,1600.46875,34,15,7.716374999999998,-22894.54839805675,-1609301.5617271757
