Episode,Steps Done,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,299,0,0,1.573421532514173,-23995.516170382776,396940.4624020849
1,234,0,1,1.573421532514173,21316.67471639273,418257.1371184776
2,156,0,2,1.573421532514173,16883.48456248577,435140.6216809634
3,136,1,2,1.573421532514173,422.62059757814313,435563.2422785415
4,231,1,3,1.573421532514173,21070.37743598388,456633.61971452535
5,299,1,3,1.573421532514173,25149.9116552891,481783.5313698145
6,260,2,3,1.573421532514173,-3581.1674141913636,478202.3639556231
7,37,2,4,1.573421532514173,5147.634828007402,483349.99878363055
8,286,3,4,1.573421532514173,10176.301672796519,493526.3004564271
9,299,3,4,1.573421532514173,27316.961042414445,520843.2614988415
10,299,3,4,1.573421532514173,25745.024732995873,546588.2862318374
11,115,3,5,1.573421532514173,11650.021443090973,558238.3076749283
12,299,3,5,1.573421532514173,20109.691846251226,578347.9995211796
13,6,3,6,1.573421532514173,2120.3929609410943,580468.3924821207
14,18,3,7,1.573421532514173,3240.2647968816373,583708.6572790022
15,7,3,8,1.573421532514173,2216.0933578267454,585924.750636829
16,299,3,8,1.4947504558884641,21753.94287701487,607678.6935138438
17,14,3,9,1.4947504558884641,2914.626982988265,610593.320496832
18,8,3,10,1.4947504558884641,2327.6746124021483,612920.9951092341
19,160,3,11,1.4947504558884641,14757.430349987415,627678.4254592216
20,299,3,11,1.4947504558884641,24007.120328863453,651685.5457880851
21,75,3,12,1.4947504558884641,7052.97289859201,658738.5186866771
22,299,3,12,1.4947504558884641,25054.33323520023,683792.8519218774
23,50,4,12,1.4947504558884641,-5258.695812900642,678534.1561089767
24,299,4,12,1.4947504558884641,19869.816342690312,698403.972451667
25,265,4,13,1.4947504558884641,20980.64596069478,719384.6184123617
26,54,4,14,1.4947504558884641,4526.948096954443,723911.5665093162
27,188,5,14,1.4947504558884641,5553.203788572515,729464.7702978887
28,281,5,15,1.4947504558884641,25919.02359769331,755383.793895582
29,255,5,16,1.4947504558884641,24315.308546861303,779699.1024424433
30,15,5,17,1.4947504558884641,3049.60593196158,782748.7083744048
31,119,5,18,1.4200129330940408,8895.259121090174,791643.967495495
32,299,5,18,1.4200129330940408,19750.95789098189,811394.9253864769
33,204,6,18,1.4200129330940408,9223.54274840625,820618.4681348832
34,230,7,18,1.4200129330940408,-16335.449742698635,804283.0183921845
35,222,8,18,1.4200129330940408,-3744.159419506437,800538.8589726781
36,159,8,19,1.4200129330940408,10916.218434732058,811455.0774074101
37,299,8,19,1.4200129330940408,27153.319218551314,838608.3966259614
38,299,8,19,1.4200129330940408,21184.198346497855,859792.5949724593
39,299,8,19,1.4200129330940408,23645.528187613065,883438.1231600724
40,299,8,19,1.4200129330940408,25421.937840403403,908860.0610004758
41,299,8,19,1.4200129330940408,28978.66675076325,937838.727751239
42,17,9,19,1.4200129330940408,-9564.054438808178,928274.6733124307
43,74,9,20,1.4200129330940408,9108.854857351289,937383.528169782
44,285,9,21,1.4200129330940408,6659.688109371495,944043.2162791535
45,297,10,21,1.4200129330940408,-11387.578516508223,932655.6377626453
46,238,10,22,1.3490122864393386,19302.817090422424,951958.4548530676
47,299,10,22,1.3490122864393386,21140.321533035392,973098.776386103
48,230,11,22,1.3490122864393386,8740.463713763758,981839.2400998668
49,296,11,23,1.3490122864393386,24436.12672805336,1006275.3668279201
50,69,11,24,1.3490122864393386,7337.532145635062,1013612.8989735552
51,96,11,25,1.3490122864393386,9491.786940573173,1023104.6859141283
52,279,11,26,1.3490122864393386,28758.061957100246,1051862.7478712285
53,299,11,26,1.3490122864393386,23036.386187293552,1074899.134058522
54,32,11,27,1.3490122864393386,4846.428530198866,1079745.5625887208
55,243,11,28,1.3490122864393386,2210.3671032346138,1081955.9296919554
56,40,12,28,1.3490122864393386,-6041.578166214396,1075914.3515257412
57,239,12,29,1.3490122864393386,24086.97382283716,1100001.3253485784
58,299,12,29,1.3490122864393386,24430.011342916765,1124431.3366914953
59,299,12,29,1.3490122864393386,27787.960902715226,1152219.2975942106
60,47,12,30,1.3490122864393386,7023.692230894133,1159242.9898251048
61,299,12,30,1.2815616721173715,26175.09231968237,1185418.0821447873
62,28,12,31,1.2815616721173715,4261.0075840405525,1189679.0897288278
63,63,13,31,1.2815616721173715,-3632.081435143311,1186047.0082936846
64,43,14,31,1.2815616721173715,-8301.643165933108,1177745.3651277514
65,299,14,31,1.2815616721173715,20485.180671334332,1198230.5457990856
66,299,14,31,1.2815616721173715,21137.91694429036,1219368.462743376
67,181,14,32,1.2815616721173715,13887.258102431757,1233255.7208458076
68,102,14,33,1.2815616721173715,9101.762884597614,1242357.483730405
69,299,14,33,1.2815616721173715,-38048.30021421103,1204309.183516194
70,32,14,34,1.2815616721173715,3396.080926564219,1207705.2644427584
71,266,15,34,1.2815616721173715,7219.306052277734,1214924.5704950362
72,14,15,35,1.2815616721173715,3048.547219100601,1217973.1177141368
73,230,15,36,1.2815616721173715,17199.87693730762,1235172.9946514445
74,299,15,36,1.2815616721173715,25478.66768836176,1260651.6623398063
