Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,299,17,0,0,0.7673183130087737,10169.199457192062,-54961129.4199051
1,299,0,0,0,0.7673183130087737,5872.578080400552,-54955256.841824695
2,299,0,0,0,0.7673183130087737,7182.753685122766,-54948074.08813957
3,299,3,0,0,0.7673183130087737,-79636.62070556973,-55027710.70884514
4,299,0,0,0,0.7673183130087737,29015.50719339626,-54998695.201651745
5,299,22,0,0,0.7673183130087737,22232.86560204941,-54976462.3360497
6,299,0,0,0,0.7673183130087737,-73432.73767164734,-55049895.07372135
7,299,0,0,0,0.7673183130087737,26006.80482360734,-55023888.26889774
8,299,0,0,0,0.7673183130087737,-91898.91263813694,-55115787.18153588
9,299,13,0,0,0.7673183130087737,12337.523308194564,-55103449.65822768
10,299,36,2181.783447265625,0,0.7673183130087737,-85777.73323189332,-55189227.39145958
11,299,14,2198.032958984375,0,0.7673183130087737,-246083.31936836248,-55435310.71082794
12,299,8,2323.388427734375,0,0.7673183130087737,-145504.85129896016,-55580815.5621269
13,272,3,92219.3828125,1,0.7673183130087737,-59585.936556696,-55640401.498683594
14,299,0,1306.0125732421875,1,0.7673183130087737,28054.110058907092,-55612347.38862469
15,299,0,2076.616943359375,1,0.7673183130087737,-127243.01966087002,-55739590.40828556
16,299,25,1976.0596923828125,1,0.7673183130087737,-366438.01749243395,-56106028.425777994
17,299,42,292.0215148925781,1,0.7673183130087737,-82887.43111031673,-56188915.85688831
18,299,35,1439.3680419921875,1,0.7673183130087737,-21975.92489095898,-56210891.78177927
19,299,0,3259.748779296875,1,0.7673183130087737,28201.852955921426,-56182689.928823344
20,299,0,1292.3798828125,1,0.7673183130087737,27602.267536012034,-56155087.66128733
21,299,18,69521.3203125,1,0.7289523973583351,-239147.0390043517,-56394234.70029168
22,299,2,18331.728515625,1,0.7289523973583351,26017.21607508921,-56368217.484216586
23,299,0,4906.96630859375,1,0.7289523973583351,-62424.148932564596,-56430641.63314915
24,299,0,13309.50390625,1,0.7289523973583351,25342.788159362382,-56405298.844989784
25,299,31,111.9328842163086,1,0.7289523973583351,-18284.81576569245,-56423583.66075548
26,299,30,755.125732421875,1,0.7289523973583351,-15450.375400657618,-56439034.03615613
27,299,0,3288.364990234375,1,0.7289523973583351,25673.10936244217,-56413360.92679369
28,201,36,39333.04296875,2,0.7289523973583351,-3867.2637520960543,-56417228.19054578
