Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,25,0,1,0,9.0,-7596.380589833292,-7596.380589833292
1,241,0,2,0,9.0,-53177.99426613841,-60774.374855971706
2,21,0,3,0,9.0,-30147.75317272642,-90922.12802869812
3,214,0,4,0,9.0,-86586.08181651805,-177508.2098452162
4,270,0,5,0,9.0,-52066.21871888874,-229574.42856410492
5,67,0,5,1,9.0,-21597.776023903287,-251172.2045880082
6,41,0,6,1,9.0,-30041.614266318684,-281213.8188543269
7,18,0,7,1,9.0,-15851.841859088494,-297065.6607134154
8,23,0,8,1,9.0,-26562.267354647214,-323627.92806806264
9,30,0,9,1,9.0,-26289.107331547322,-349917.03539960994
10,26,0,10,1,9.0,-12947.950119364617,-362864.98551897454
11,13,0,11,1,9.0,-18142.762893400948,-381007.7484123755
12,142,0,12,1,9.0,-100617.40606404931,-481625.1544764248
13,100,0,13,1,9.0,-41937.20173195342,-523562.3562083782
14,57,0,14,1,9.0,-52051.5543555623,-575613.9105639405
15,12,0,15,1,9.0,-10174.485397678429,-585788.395961619
16,25,0,16,1,8.549999999999999,-25324.12397013745,-611112.5199317564
17,19,0,17,1,8.549999999999999,-8331.391903246746,-619443.9118350032
18,18,0,18,1,8.549999999999999,-34441.16404497763,-653885.0758799808
19,152,0,19,1,8.549999999999999,-82735.55225153141,-736620.6281315122
20,21,0,20,1,8.549999999999999,-37378.76474718139,-773999.3928786936
21,64,0,21,1,8.549999999999999,-22722.09613316551,-796721.4890118592
22,19,0,22,1,8.549999999999999,-34951.88450203262,-831673.3735138918
23,87,0,23,1,8.549999999999999,-75110.23680912313,-906783.6103230149
24,71,0,23,2,8.549999999999999,-35763.74768276112,-942547.3580057761
25,106,0,24,2,8.549999999999999,-100652.64073118594,-1043199.998736962
26,187,0,25,2,8.549999999999999,-74093.86830063557,-1117293.8670375976
27,13,0,26,2,8.549999999999999,-8935.351319722766,-1126229.2183573204
28,96,0,27,2,8.549999999999999,-33273.63123252515,-1159502.8495898456
29,105,0,28,2,8.549999999999999,-76698.96439187377,-1236201.8139817193
30,67,0,29,2,8.549999999999999,-22982.41599173037,-1259184.2299734496
31,59,0,30,2,8.122499999999999,-29988.87978388279,-1289173.1097573324
32,42,0,30,3,8.122499999999999,5558.913645035653,-1283614.1961122968
33,66,0,30,4,8.122499999999999,-37067.42455051632,-1320681.620662813
34,64,0,31,4,8.122499999999999,-37710.39199151547,-1358392.0126543285
35,144,0,32,4,8.122499999999999,-76477.31343022465,-1434869.326084553
36,159,0,33,4,8.122499999999999,-117795.92487615104,-1552665.2509607042
37,117,[180442.09375],34,4,8.122499999999999,-42899.78673988499,-1595565.0377005893
38,28,[89758.9453125],35,4,8.122499999999999,-19182.493929928867,-1614747.5316305181
39,32,[87588.3203125],36,4,8.122499999999999,-31257.3985679754,-1646004.9301984936
40,111,[1826.3079833984375],37,4,8.122499999999999,-6557.684965707464,-1652562.615164201
41,3,[2483.523681640625],37,5,8.122499999999999,1839.7379262217728,-1650722.8772379793
42,211,[308.8096618652344],38,5,8.122499999999999,-71092.53098979071,-1721815.4082277701
43,56,[3055.639892578125],39,5,8.122499999999999,-20232.33812675638,-1742047.7463545266
44,67,[3699.897216796875],40,5,8.122499999999999,-12056.44304089644,-1754104.189395423
45,14,[54318.5703125],40,6,8.122499999999999,2945.193751879224,-1751158.9956435438
46,115,[4188.94384765625],40,7,7.716374999999998,-563.2970708531179,-1751722.292714397
47,133,[6116.24853515625],41,7,7.716374999999998,-7966.452777929722,-1759688.7454923268
48,8,[3670.45556640625],41,8,7.716374999999998,2237.9414985306285,-1757450.8039937962
49,271,[3561.18798828125],42,8,7.716374999999998,13639.008873230141,-1743811.7951205662
50,49,[7175.5302734375],43,8,7.716374999999998,-20217.013080314868,-1764028.8082008811
51,65,[2241.204833984375],44,8,7.716374999999998,-27501.127986431828,-1791529.936187313
52,4,[199820.828125],45,8,7.716374999999998,-9631.384468776445,-1801161.3206560893
53,6,[24040.166015625],45,9,7.716374999999998,2109.3451999349118,-1799051.9754561544
54,265,[6076.23583984375],46,9,7.716374999999998,-22644.541069481795,-1821696.5165256362
55,38,[758.9302978515625],47,9,7.716374999999998,-12888.285320855313,-1834584.8018464914
56,119,[6796.22607421875],48,9,7.716374999999998,-16271.92723609878,-1850856.7290825902
57,51,[6752.11962890625],49,9,7.716374999999998,-37071.6676341445,-1887928.3967167346
58,24,[6167.23681640625],49,10,7.716374999999998,-13026.177934838366,-1900954.574651573
