Episode,Steps Done,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,81,0,1,8.549999999999999,9704.78400616427,-725856.2565215968
1,164,1,1,8.549999999999999,-105108.6230156813,-830964.8795372781
2,10,2,1,8.549999999999999,-19776.213175701272,-850741.0927129794
3,17,3,1,8.549999999999999,-15261.71883444545,-866002.8115474249
4,9,4,1,8.549999999999999,-9133.475612628503,-875136.2871600534
5,247,5,1,8.549999999999999,-40713.26265186636,-915849.5498119197
6,104,6,1,8.549999999999999,-99848.94168764992,-1015698.4914995696
7,4,7,1,8.549999999999999,-13616.670681984091,-1029315.1621815537
8,299,7,1,8.549999999999999,-123728.85882269447,-1153044.0210042482
9,108,8,1,8.549999999999999,-115339.13911285836,-1268383.1601171065
10,14,9,1,8.549999999999999,-26140.55667611304,-1294523.7167932196
11,208,10,1,8.549999999999999,-32919.502430790046,-1327443.2192240097
12,18,10,2,8.549999999999999,3655.87628630717,-1323787.3429377025
13,176,11,2,8.549999999999999,-8319.74915590305,-1332107.0920936055
14,182,12,2,8.549999999999999,-24199.210693691173,-1356306.3027872967
15,102,13,2,8.549999999999999,-23673.014921762973,-1379979.3177090597
16,34,14,2,8.122499999999999,-6755.342249974625,-1386734.6599590343
17,26,14,3,8.122499999999999,3806.0210656214676,-1382928.638893413
18,7,14,4,8.122499999999999,2211.7372258986516,-1380716.9016675144
19,20,14,5,8.122499999999999,3303.31529597031,-1377413.586371544
20,13,14,6,8.122499999999999,1489.6113284465218,-1375923.9750430975
21,299,14,6,8.122499999999999,-90204.88394194242,-1466128.8589850399
22,7,14,7,8.122499999999999,2283.3591685505444,-1463845.4998164894
23,109,15,7,8.122499999999999,-12663.39424390205,-1476508.8940603915
24,53,15,8,8.122499999999999,6849.991079361427,-1469658.90298103
25,111,16,8,8.122499999999999,-50619.4975910154,-1520278.4005720455
26,9,16,9,8.122499999999999,2416.9631965446188,-1517861.4373755008
27,77,17,9,8.122499999999999,-10229.632115901351,-1528091.0694914022
28,28,18,9,8.122499999999999,-7361.626252922209,-1535452.6957443245
29,9,18,10,8.122499999999999,2383.0219175591683,-1533069.6738267653
30,128,18,11,8.122499999999999,-382.7067843910486,-1533452.3806111563
31,59,19,11,7.716374999999998,-70645.67913150073,-1604098.059742657
32,42,20,11,7.716374999999998,-17016.545453443054,-1621114.6051961
33,40,20,12,7.716374999999998,-1532.5564264973618,-1622647.1616225974
34,132,21,12,7.716374999999998,-60197.09483115224,-1682844.2564537497
35,126,21,13,7.716374999999998,-18193.582133670287,-1701037.83858742
36,108,21,14,7.716374999999998,-11031.999644670816,-1712069.838232091
37,247,22,14,7.716374999999998,5963.346994005507,-1706106.4912380853
38,236,23,14,7.716374999999998,-41270.20706033607,-1747376.6982984215
39,9,23,15,7.716374999999998,-2555.1047407954347,-1749931.803039217
40,1,23,16,7.716374999999998,1611.581254575403,-1748320.2217846415
41,102,24,16,7.716374999999998,-805.0057860524576,-1749125.227570694
42,14,24,17,7.716374999999998,3000.117066749789,-1746125.110503944
43,99,25,17,7.716374999999998,-13680.453466500257,-1759805.5639704443
44,12,25,18,7.716374999999998,2944.821616803854,-1756860.7423536405
45,37,25,19,7.716374999999998,4595.624846011495,-1752265.117507629
46,135,25,20,7.330556249999998,-15343.73189578305,-1767608.849403412
47,6,26,20,7.330556249999998,-14751.407565510232,-1782360.2569689222
48,12,26,21,7.330556249999998,2766.6465451097793,-1779593.6104238124
49,3,26,22,7.330556249999998,1817.420067918372,-1777776.190355894
50,1,26,23,7.330556249999998,1611.581254575403,-1776164.6091013185
51,7,26,24,7.330556249999998,2220.734537162002,-1773943.8745641566
52,8,26,25,7.330556249999998,2351.250728144176,-1771592.6238360126
53,81,27,25,7.330556249999998,-28775.479863899014,-1800368.1036999116
54,117,28,25,7.330556249999998,-3080.2898612660265,-1803448.3935611777
55,134,29,25,7.330556249999998,-8758.402871376371,-1812206.796432554
56,112,29,26,7.330556249999998,2688.3864804656805,-1809518.4099520883
57,9,30,26,7.330556249999998,-16502.26301564467,-1826020.672967733
58,207,31,26,7.330556249999998,6029.8718434271705,-1819990.8011243057
59,1,31,27,7.330556249999998,1611.581254575403,-1818379.2198697303
60,69,32,27,7.330556249999998,-41833.50557402878,-1860212.725443759
61,9,32,28,6.964028437499998,2383.5153652506424,-1857829.2100785084
62,3,32,29,6.964028437499998,1837.218107639583,-1855991.9919708688
63,3,32,30,6.964028437499998,1804.6582222876873,-1854187.3337485811
64,5,32,31,6.964028437499998,2038.6049141710562,-1852148.72883441
65,14,32,32,6.964028437499998,3026.773638181008,-1849121.955196229
66,23,32,33,6.964028437499998,4166.067827431814,-1844955.8873687973
67,11,32,34,6.964028437499998,2499.0350681544132,-1842456.852300643
68,117,33,34,6.964028437499998,-8265.840770597288,-1850722.6930712403
69,267,34,34,6.964028437499998,-42571.91066899749,-1893294.603740238
70,4,34,35,6.964028437499998,1944.7170531262454,-1891349.8866871116
71,19,34,36,6.964028437499998,3596.664432596785,-1887753.2222545147
72,299,34,36,6.964028437499998,9212.522896916389,-1878540.6993575983
73,3,34,37,6.964028437499998,1837.785612223473,-1876702.913745375
74,1,34,38,6.964028437499998,1611.581254575403,-1875091.3324907995
75,10,34,39,6.964028437499998,2521.5944514721677,-1872569.7380393273
76,10,34,40,6.615827015624998,2552.2997414881384,-1870017.4382978391
77,6,34,41,6.615827015624998,2176.4695195446557,-1867840.9687782945
78,3,34,42,6.615827015624998,688.4884885826159,-1867152.4802897118
79,225,35,42,6.615827015624998,-13524.013473934236,-1880676.493763646
80,127,36,42,6.615827015624998,-16111.448418078644,-1896787.9421817248
81,10,36,43,6.615827015624998,2448.994405145057,-1894338.9477765798
82,15,36,44,6.615827015624998,3131.182377339296,-1891207.7653992404
83,1,36,45,6.615827015624998,1611.581254575403,-1889596.184144665
84,2,36,46,6.615827015624998,1728.7788156416896,-1887867.4053290233
85,4,37,46,6.615827015624998,-9611.024186665467,-1897478.4295156887
86,7,37,47,6.615827015624998,2312.1255091134426,-1895166.3040065751
87,1,37,48,6.615827015624998,1611.581254575403,-1893554.7227519997
88,25,37,49,6.615827015624998,4085.3646578879657,-1889469.3580941118
89,24,37,50,6.615827015624998,3630.868538689987,-1885838.4895554218
90,81,37,51,6.615827015624998,8489.056067836627,-1877349.433487585
91,60,38,51,6.285035664843748,-6534.890530931226,-1883884.3240185163
92,62,39,51,6.285035664843748,-3893.1360765368254,-1887777.460095053
93,1,39,52,6.285035664843748,1611.581254575403,-1886165.8788404777
94,51,39,53,6.285035664843748,6038.035796361449,-1880127.8430441162
95,21,40,53,6.285035664843748,-13833.306767724183,-1893961.1498118404
96,3,40,54,6.285035664843748,1823.3026236507549,-1892137.8471881896
97,94,41,54,6.285035664843748,-23149.341279431617,-1915287.1884676213
98,36,41,55,6.285035664843748,-1385.7182686572178,-1916672.9067362784
99,8,41,56,6.285035664843748,2413.3176673450353,-1914259.5890689334
100,127,42,56,6.285035664843748,-16141.25997043208,-1930400.8490393655
101,299,42,56,6.285035664843748,-45324.84021415982,-1975725.6892535253
102,16,42,57,6.285035664843748,3194.005918652434,-1972531.6833348728
103,16,42,58,6.285035664843748,3344.443844716659,-1969187.239490156
104,13,42,59,6.285035664843748,2885.6008595098556,-1966301.6386306463
105,101,42,60,6.285035664843748,-2894.3523297999545,-1969195.9909604462
106,12,43,60,5.97078388160156,-8817.317105464848,-1978013.308065911
107,94,43,61,5.97078388160156,3447.0553903462487,-1974566.2526755647
108,78,43,62,5.97078388160156,-3512.1568182414658,-1978078.4094938063
109,85,44,62,5.97078388160156,-2955.6213188530137,-1981034.0308126593
110,188,44,63,5.97078388160156,-14201.011141254126,-1995235.0419539134
111,21,44,64,5.97078388160156,3523.4040323793797,-1991711.637921534
112,2,44,65,5.97078388160156,1708.235050229086,-1990003.402871305
113,90,44,66,5.97078388160156,6630.03160268128,-1983373.3712686235
114,188,44,67,5.97078388160156,13089.02916003352,-1970284.34210859
115,53,44,68,5.97078388160156,6092.0780246536215,-1964192.2640839363
116,176,44,69,5.97078388160156,-8216.193940634937,-1972408.4580245712
117,127,45,69,5.97078388160156,1022.054251480924,-1971386.4037730903
118,30,45,70,5.97078388160156,4828.523656114678,-1966557.8801169756
119,102,46,70,5.97078388160156,-853.6721959159422,-1967411.5523128915
120,28,47,70,5.97078388160156,-7024.308387449668,-1974435.8607003412
121,151,48,70,5.672244687521482,4490.04402613644,-1969945.8166742048
122,5,48,71,5.672244687521482,2041.8451623391416,-1967903.9715118657
123,18,48,72,5.672244687521482,3365.1959327347013,-1964538.775579131
124,248,49,72,5.672244687521482,-14475.328441085852,-1979014.1040202167
125,108,49,73,5.672244687521482,-2829.930804600657,-1981844.0348248174
126,241,50,73,5.672244687521482,-6379.956251329932,-1988223.9910761474
127,14,50,74,5.672244687521482,3051.5940834280505,-1985172.3969927193
128,299,50,74,5.672244687521482,10566.831873375271,-1974605.565119344
129,53,50,75,5.672244687521482,-12001.102890299358,-1986606.6680096434
130,77,51,75,5.672244687521482,-4081.9408827849447,-1990688.6088924285
131,66,51,76,5.672244687521482,-1176.3030795701548,-1991864.9119719986
132,118,52,76,5.672244687521482,-3603.4878689573698,-1995468.399840956
133,180,52,77,5.672244687521482,4385.175163708602,-1991083.2246772475
134,240,52,78,5.672244687521482,1486.5519660575608,-1989596.6727111898
135,206,53,78,5.672244687521482,1650.1082016140754,-1987946.5645095757
136,13,53,79,5.388632453145407,3016.4548051442043,-1984930.1097044316
137,51,54,79,5.388632453145407,-8679.835070670562,-1993609.9447751022
138,12,54,80,5.388632453145407,2834.758281029277,-1990775.186494073
139,99,55,80,5.388632453145407,-24227.75457887727,-2015002.9410729501
140,275,56,80,5.388632453145407,-925.5245261579948,-2015928.465599108
141,86,57,80,5.388632453145407,-3854.6115467532036,-2019783.0771458612
142,15,57,81,5.388632453145407,2889.9639285077137,-2016893.1132173536
143,299,57,81,5.388632453145407,-13568.721776904777,-2030461.8349942584
144,30,58,81,5.388632453145407,-17495.223084839774,-2047957.0580790981
145,294,59,81,5.388632453145407,14306.825410169044,-2033650.232668929
146,270,59,82,5.388632453145407,7962.897472909341,-2025687.3351960196
