Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,93,0,1,0,9.0,-21730.57162426242,-21730.57162426242
1,104,0,2,0,9.0,-80874.36705140857,-102604.93867567099
2,48,0,3,0,9.0,-9948.832844554385,-112553.77152022537
3,5,0,3,1,9.0,-202.86205744644076,-112756.63357767182
4,4,0,3,2,9.0,1900.0989415246963,-110856.53463614712
5,28,0,4,2,9.0,-40910.308773466546,-151766.84340961365
6,34,0,5,2,9.0,-12077.311087472614,-163844.15449708627
7,3,0,5,3,9.0,1811.809523992403,-162032.34497309386
8,2,0,5,4,9.0,1709.9387970004027,-160322.40617609344
9,21,0,5,5,9.0,3499.672173090508,-156822.73400300293
10,152,0,6,5,9.0,-51891.5728277489,-208714.30683075183
11,177,0,6,6,9.0,-37987.229107496976,-246701.5359382488
12,56,0,7,6,9.0,-28095.12118918423,-274796.65712743305
13,43,0,8,6,9.0,-41687.96928842594,-316484.626415859
14,44,0,9,6,9.0,-23863.0345983141,-340347.66101417306
15,136,0,9,7,9.0,11786.046372745892,-328561.6146414272
16,59,0,10,7,8.549999999999999,-26755.331885851105,-355316.9465272783
17,22,0,11,7,8.549999999999999,-15185.251552074325,-370502.1980793526
18,13,0,11,8,8.549999999999999,2897.948584511831,-367604.2494948408
19,91,0,12,8,8.549999999999999,-72235.08962083943,-439839.3391156802
20,12,0,13,8,8.549999999999999,-8961.761707103513,-448801.1008227837
21,152,0,14,8,8.549999999999999,-50194.72739863601,-498995.8282214197
22,18,0,15,8,8.549999999999999,-10955.944348762396,-509951.7725701821
23,69,0,16,8,8.549999999999999,-23449.950616294704,-533401.7231864769
24,4,0,16,9,8.549999999999999,1940.891782402781,-531460.8314040741
25,61,0,17,9,8.549999999999999,-32257.7162477356,-563718.5476518096
26,130,0,18,9,8.549999999999999,-38618.7756286731,-602337.3232804828
27,19,0,19,9,8.549999999999999,-23750.340920327464,-626087.6642008102
28,120,0,20,9,8.549999999999999,-76598.90651842406,-702686.5707192343
29,25,0,21,9,8.549999999999999,-7643.204721303945,-710329.7754405382
30,249,0,22,9,8.549999999999999,-99770.49968669393,-810100.2751272321
31,120,0,23,9,8.122499999999999,-65159.32163796537,-875259.5967651975
32,152,0,24,9,8.122499999999999,-42514.16036340182,-917773.7571285993
33,7,0,24,10,8.122499999999999,2237.1644012409965,-915536.5927273583
34,11,0,24,11,8.122499999999999,2330.8285162599577,-913205.7642110984
35,104,0,25,11,8.122499999999999,-37235.3909739135,-950441.1551850119
36,14,0,26,11,8.122499999999999,-8543.247979450149,-958984.4031644621
37,131,0,27,11,8.122499999999999,-68727.09647300688,-1027711.499637469
38,24,0,27,12,8.122499999999999,3801.781478527834,-1023909.7181589411
39,28,0,28,12,8.122499999999999,-20366.92641869374,-1044276.6445776349
40,37,0,28,13,8.122499999999999,3551.5542684264497,-1040725.0903092084
41,41,0,28,14,8.122499999999999,-4693.888149799861,-1045418.9784590083
42,132,0,29,14,8.122499999999999,-91315.3219359946,-1136734.3003950028
43,1,0,29,15,8.122499999999999,1611.581254575403,-1135122.7191404274
44,213,[88891.8359375],29,16,8.122499999999999,-87046.32999629885,-1222169.0491367262
45,96,[2641.921630859375],29,17,8.122499999999999,-22472.50869668957,-1244641.5578334157
46,122,[15878.0625],30,17,7.716374999999998,-12408.951941224537,-1257050.5097746402
47,15,[66137.8671875],31,17,7.716374999999998,-8837.231868595836,-1265887.741643236
48,173,[4101.4609375],32,17,7.716374999999998,-21918.850879692356,-1287806.5925229285
49,150,[112434.4375],33,17,7.716374999999998,-9015.688737845263,-1296822.2812607738
50,48,[110366.3828125],34,17,7.716374999999998,-18496.91071343048,-1315319.1919742043
51,8,[6324.51904296875],34,18,7.716374999999998,2251.2045079669915,-1313067.9874662373
52,81,[16025.5703125],35,18,7.716374999999998,-10002.647146550895,-1323070.6346127882
53,109,[15667.2578125],35,19,7.716374999999998,-30252.199672956413,-1353322.8342857447
54,54,[15957.5439453125],36,19,7.716374999999998,-7608.567994966212,-1360931.4022807109
55,69,[48576.62890625],37,19,7.716374999999998,-19751.68583599521,-1380683.088116706
56,3,[68740.4765625],37,20,7.716374999999998,1780.5771141061662,-1378902.5110026
57,119,[12538.0029296875],38,20,7.716374999999998,-26668.985098250017,-1405571.49610085
58,13,[23055.177734375],38,21,7.716374999999998,2639.884856422726,-1402931.6112444273
59,10,[5063.42041015625],38,22,7.716374999999998,2509.8769701787046,-1400421.7342742486
60,153,[6045.78125],39,22,7.716374999999998,-26599.759589692552,-1427021.4938639412
61,268,[50655.875],40,22,7.330556249999998,-21733.795901435347,-1448755.2897653766
62,5,[20619.712890625],40,23,7.330556249999998,1985.0650924724584,-1446770.2246729042
63,1,[23913.7578125],40,24,7.330556249999998,1611.581254575403,-1445158.6434183288
64,13,[47519.90625],41,24,7.330556249999998,-8879.867039970315,-1454038.5104582992
65,39,[259770.375],41,25,7.330556249999998,4816.094665763049,-1449222.4157925362
66,12,[2266.984619140625],42,25,7.330556249999998,-8745.184727162305,-1457967.6005196986
67,12,[10456.3037109375],42,26,7.330556249999998,2682.279755406083,-1455285.3207642925
68,224,[43237.62890625],43,26,7.330556249999998,-26010.360508804137,-1481295.6812730967
69,23,[14281.5458984375],44,26,7.330556249999998,-8022.118923113523,-1489317.8001962102
70,121,[22632.662109375],45,26,7.330556249999998,-11400.376764988448,-1500718.1769611987
